region,game,role,gym_leader,gym_city,gym_type,source_location,min_level,max_level,method,pokemon,moves
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 2,3,3,walk,caterpie,"Tackle, String Shot"
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 2,4,4,walk,caterpie,"Tackle, String Shot"
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 2,5,5,walk,caterpie,"Tackle, String Shot"
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 3,3,3,walk,jigglypuff,Sing
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 3,5,5,walk,jigglypuff,Sing
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 3,7,7,walk,jigglypuff,Sing
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 3,3,3,walk,jigglypuff,Sing
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 3,5,5,walk,jigglypuff,Sing
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 3,7,7,walk,jigglypuff,Sing
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 3,5,5,gift,magikarp,Splash
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 3,5,5,gift,magikarp,Splash
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 3,5,5,gift,magikarp,Splash
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 3,9,9,walk,mankey,"Scratch, Leer"
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 2,8,100,npc-trade,mr. mime,"Confusion, Barrier"
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 2,8,100,npc-trade,mr. mime,"Confusion, Barrier"
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 2,9,100,npc-trade,mr. mime,"Confusion, Barrier"
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 2,4,4,walk,nidoran (female),"Tackle, Growl"
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 2,6,6,walk,nidoran (female),"Tackle, Growl"
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 2,4,4,walk,nidoran (male),"Tackle, Leer"
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 2,6,6,walk,nidoran (male),"Tackle, Leer"
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 2,3,3,walk,pidgey,Gust
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 2,4,4,walk,pidgey,Gust
