canonical_name,pokemon_database_id,pokemon_database_raw,pokemon_csv_raw,sprite_file_raw,in_anchor,in_pokemon_csv,in_sprite_file
Abomasnow,658,Abomasnow,Abomasnow,Abomasnow,True,True,True
Abomasnow (Mega),1562,Abomasnow (Mega),Mega Abomasnow,Abomasnow-Mega,True,True,True
Abra,1004,Abra,Abra,Abra,True,True,True
Absol,487,Absol,Absol,Absol,True,True,True
Absol (Mega),1591,Absol (Mega),Mega Absol,Absol-Mega,True,True,True
Absol-Mega-Z,,,,Absol-Mega-Z,False,False,True
Accelgor,990,Accelgor,Accelgor,Accelgor,True,True,True
Aegislash,1098,Aegislash,,,True,False,False
Aegislash Blade Forme,,,Aegislash Blade Forme,,False,True,False
Aegislash Shield Forme,,,Aegislash Shield Forme,,False,True,False
Aegislash-Blade,,,,Aegislash-Blade,False,False,True
Aegislash-Shield,,,,Aegislash-Shield,False,False,True
Aerodactyl,237,Aerodactyl,Aerodactyl,Aerodactyl,True,True,True
Aerodactyl (Mega),1382,Aerodactyl (Mega),Mega Aerodactyl,Aerodactyl-Mega,True,True,True
Aggron,434,Aggron,Aggron,Aggron,True,True,True
Aggron (Mega),1434,Aggron (Mega),Mega Aggron,Aggron-Mega,True,True,True
Aipom,290,Aipom,Aipom,Aipom,True,True,True
Alakazam,1026,Alakazam,Alakazam,Alakazam,True,True,True
Alakazam (Mega),1360,Alakazam (Mega),Mega Alakazam,Alakazam-Mega,True,True,True
Alcremie,1484,Alcremie,Alcremie,Alcremie,True,True,True
Alcremie (Gigantamax),1869,Alcremie (Gigantamax),Gigantamax Alcremie,Alcremie-Gmax,True,True,True
Alomomola,965,Alomomola,Alomomola,Alomomola,True,True,True
Altaria,462,Altaria,Altaria,Altaria,True,True,True
Altaria (Mega),1589,Altaria (Mega),Mega Altaria,Altaria-Mega,True,True,True
Amaura,1126,Amaura,Amaura,Amaura,True,True,True
Ambipom,622,Ambipom,Ambipom,Ambipom,True,True,True
Amoonguss,962,Amoonguss,Amoonguss,Amoonguss,True,True,True
Ampharos,280,Ampharos,Ampharos,Ampharos,True,True,True
Ampharos (Mega),1394,Ampharos (Mega),Mega Ampharos,Ampharos-Mega,True,True,True
Annihilape,1678,Annihilape,,Annihilape,True,False,True
Anorith,475,Anorith,Anorith,Anorith,True,True,True
Appletun,1503,Appletun,Appletun,Appletun,True,True,True
Appletun (Gigantamax),1539,Appletun (Gigantamax),Gigantamax Appletun,Appletun-Gmax,True,True,True
Applin,1501,Applin,Applin,Applin,True,True,True
Araquanid,1279,Araquanid,Araquanid,Araquanid,True,True,True
Araquanid-Totem,,,,Araquanid-Totem,False,False,True
Arbok,87,Arbok,Arbok,Arbok,True,True,True
Arboliva,1697,Arboliva,,Arboliva,True,False,True
Arcanine,960,Arcanine,Arcanine,Arcanine,True,True,True
Arcanine (Hisuian),1624,Arcanine (Hisui),,Arcanine-Hisui,True,False,True
Arceus,741,Arceus,Arceus,Arceus,True,True,True
Archaludon,1871,Archaludon,,Archaludon,True,False,True
Archen,920,Archen,Archen,Archen,True,True,True
Archeops,921,Archeops,Archeops,Archeops,True,True,True
