pokemon_name,pokeapi_slug,pokeapi_id,sprite_url
Pikachu (Starter),pikachu,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png
Nidoran (Female),nidoran-f,29,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png
Nidoran (Male),nidoran-m,32,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png
Farfetch'd (Galarian),farfetchd-galar,10166,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10166.png
Farfetch'd,farfetchd,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png
Mr. Mime (Galarian),mr-mime-galar,10168,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10168.png
Mr. Mime,mr-mime,122,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png
Tauros (Paldean Aqua Breed),tauros,128,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png
Tauros (Paldean Combat Breed),tauros,128,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png
Tauros (Paldean Blaze Breed),tauros,128,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png
Eevee (Starter),eevee,133,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png
Unown (L),unown-l,201,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201-l.png
Unown (M),unown-m,201,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201-m.png
Unown (N),unown-n,201,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201-n.png
Unown (O),unown-o,201,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201-o.png
Unown (P),unown-p,201,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201-p.png
Unown (Q),unown-q,201,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201-q.png
Unown (R),unown-r,201,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201-r.png
Unown (S),unown-s,201,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201-s.png
Unown (T),unown-t,201,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201-t.png
Unown (U),unown-u,201,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201-u.png
