pokemon,generation,version_group,move,level_learned
abra,1,red-blue,teleport,1
aerodactyl,1,red-blue,wing-attack,1
aerodactyl,1,red-blue,agility,1
aerodactyl,1,red-blue,supersonic,33
aerodactyl,1,red-blue,bite,38
aerodactyl,1,red-blue,take-down,45
aerodactyl,1,red-blue,hyper-beam,54
alakazam,1,red-blue,disable,1
alakazam,1,red-blue,confusion,1
alakazam,1,red-blue,teleport,1
alakazam,1,red-blue,confusion,16
alakazam,1,red-blue,disable,20
alakazam,1,red-blue,psybeam,27
alakazam,1,red-blue,recover,31
alakazam,1,red-blue,psychic,38
alakazam,1,red-blue,reflect,42
arbok,1,red-blue,wrap,1
arbok,1,red-blue,poison-sting,1
arbok,1,red-blue,leer,1
arbok,1,red-blue,poison-sting,10
arbok,1,red-blue,bite,17
arbok,1,red-blue,glare,27
arbok,1,red-blue,screech,36
arbok,1,red-blue,acid,47
arcanine,1,red-blue,take-down,1
arcanine,1,red-blue,leer,1
arcanine,1,red-blue,roar,1
arcanine,1,red-blue,ember,1
articuno,1,red-blue,ice-beam,1
articuno,1,red-blue,peck,1
articuno,1,red-blue,blizzard,51
articuno,1,red-blue,agility,55
articuno,1,red-blue,mist,60
beedrill,1,red-blue,fury-attack,1
beedrill,1,red-blue,fury-attack,12
beedrill,1,red-blue,focus-energy,16
beedrill,1,red-blue,twineedle,20
beedrill,1,red-blue,rage,25
beedrill,1,red-blue,pin-missile,30
beedrill,1,red-blue,agility,35
bellsprout,1,red-blue,vine-whip,1
bellsprout,1,red-blue,growth,1
bellsprout,1,red-blue,wrap,13
bellsprout,1,red-blue,poison-powder,15
bellsprout,1,red-blue,sleep-powder,18
bellsprout,1,red-blue,stun-spore,21
bellsprout,1,red-blue,acid,26
bellsprout,1,red-blue,razor-leaf,33
bellsprout,1,red-blue,slam,42
blastoise,1,red-blue,tackle,1
blastoise,1,red-blue,tail-whip,1
blastoise,1,red-blue,water-gun,1
blastoise,1,red-blue,bubble,1
blastoise,1,red-blue,bubble,8
blastoise,1,red-blue,water-gun,15
blastoise,1,red-blue,bite,24
blastoise,1,red-blue,withdraw,31
blastoise,1,red-blue,skull-bash,42
blastoise,1,red-blue,hydro-pump,52
bulbasaur,1,red-blue,tackle,1
bulbasaur,1,red-blue,growl,1
bulbasaur,1,red-blue,leech-seed,7
bulbasaur,1,red-blue,vine-whip,13
bulbasaur,1,red-blue,poison-powder,20
bulbasaur,1,red-blue,razor-leaf,27
bulbasaur,1,red-blue,growth,34
bulbasaur,1,red-blue,sleep-powder,41
bulbasaur,1,red-blue,solar-beam,48
butterfree,1,red-blue,confusion,1
butterfree,1,red-blue,confusion,12
butterfree,1,red-blue,poison-powder,15
butterfree,1,red-blue,stun-spore,16
butterfree,1,red-blue,sleep-powder,17
butterfree,1,red-blue,supersonic,21
butterfree,1,red-blue,whirlwind,26
butterfree,1,red-blue,psybeam,32
